G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
34,12/26/2022,21-143,MIN,@,MIA,L (-3),1,39:55:00,11,16,0.688,5,8,0.625,2,3,0.667,1,5,6,7,2,1,8,3,29,22.4,0
35,12/28/2022,21-145,MIN,@,NOP,L (-1),1,38:46:00,10,23,0.435,2,6,0.333,5,9,0.556,1,5,6,2,2,1,4,4,27,14,-5
36,12/30/2022,21-147,MIN,@,MIL,L (-9),1,40:22:00,10,20,0.5,2,6,0.333,8,14,0.571,0,10,10,1,4,2,1,1,30,25.3,-4
37,12/31/2022,21-148,MIN,,DET,L (-12),1,38:56:00,10,21,0.476,4,10,0.4,6,7,0.857,0,7,7,5,1,0,3,3,30,21.3,-5
38,1/2/2023,21-150,MIN,,DEN,W (+13),1,36:17:00,10,24,0.417,3,11,0.273,6,6,1,1,9,10,5,1,0,3,5,29,19.1,13
39,1/4/2023,21-152,MIN,,POR,W (+7),1,35:43:00,11,26,0.423,3,9,0.333,7,9,0.778,0,7,7,3,0,0,3,4,32,17,8
40,1/6/2023,21-154,MIN,,LAC,W (+13),1,22:39,2,7,0.286,0,3,0,1,2,0.5,0,3,3,5,0,1,2,1,5,3.2,18
41,1/8/2023,21-156,MIN,@,HOU,W (+8),1,37:05:00,6,19,0.316,3,7,0.429,6,6,1,0,4,4,3,1,2,3,0,21,12.8,2
42,1/11/2023,21-159,MIN,@,DET,L (-17),1,24:01:00,8,18,0.444,2,7,0.286,2,2,1,0,1,1,6,0,0,2,2,20,12.3,-1
43,1/13/2023,21-161,MIN,,PHO,W (+5),1,36:46:00,12,24,0.5,2,8,0.25,5,5,1,0,6,6,3,2,0,3,4,31,20.3,2
44,1/14/2023,21-162,MIN,,CLE,W (+8),1,35:22:00,10,18,0.556,3,6,0.5,3,3,1,0,6,6,7,1,0,4,1,26,20.7,7
45,1/16/2023,21-164,MIN,,UTA,L (-1),1,36:19:00,10,25,0.4,4,10,0.4,5,5,1,0,4,4,5,3,0,2,1,29,20.8,-2
46,1/18/2023,21-166,MIN,@,DEN,L (-4),1,37:11:00,7,17,0.412,0,4,0,2,3,0.667,4,5,9,3,1,1,3,0,16,11.6,-12
47,1/19/2023,21-167,MIN,,TOR,W (+2),1,39:39:00,5,16,0.313,2,8,0.25,11,12,0.917,0,5,5,7,3,0,5,3,23,16.6,12
48,1/21/2023,21-169,MIN,,HOU,W (+9),1,40:32:00,17,29,0.586,8,16,0.5,2,2,1,0,6,6,4,3,3,5,1,44,34.8,14
49,1/23/2023,21-171,MIN,@,HOU,L (-5),1,37:13:00,9,20,0.45,6,10,0.6,7,9,0.778,1,2,3,5,4,1,6,3,31,22.1,-15
50,1/25/2023,21-173,MIN,@,NOP,W (+9),1,37:18:00,12,25,0.48,4,10,0.4,9,10,0.9,0,6,6,5,0,0,4,1,37,24.8,13
51,1/27/2023,21-175,MIN,,MEM,W (+11),1,36:28:00,9,18,0.5,3,5,0.6,4,6,0.667,0,7,7,7,0,1,2,2,25,20.1,10
52,1/28/2023,21-176,MIN,,SAC,W (+7),1,37:36:00,14,21,0.667,5,7,0.714,1,2,0.5,2,8,10,6,2,1,6,2,34,28.4,16
53,1/30/2023,21-178,MIN,,SAC,L (-7),1,40:46:00,14,27,0.519,4,11,0.364,1,4,0.25,2,6,8,5,2,2,6,2,33,21.8,-11
54,2/1/2023,21-180,MIN,,GSW,W (+5),1,39:11:00,10,26,0.385,2,11,0.182,5,6,0.833,0,6,6,5,2,1,6,1,27,14,-9
55,2/3/2023,21-182,MIN,,ORL,L (-7),1,37:49:00,5,15,0.333,1,7,0.143,8,10,0.8,0,5,5,5,1,1,4,3,19,11.2,-10
56,2/5/2023,21-184,MIN,,DEN,W (+30),1,30:38:00,8,17,0.471,1,5,0.2,3,5,0.6,0,4,4,3,2,0,2,2,20,13,13
57,2/7/2023,21-186,MIN,@,DEN,L (-34),1,20:39,7,11,0.636,1,3,0.333,4,5,0.8,0,3,3,3,0,1,1,3,19,15.2,-12
58,2/8/2023,21-187,MIN,@,UTA,W (+25),1,33:07:00,13,27,0.481,4,9,0.444,1,1,1,0,7,7,8,1,0,1,1,31,24.6,19
59,2/10/2023,21-189,MIN,@,MEM,L (-21),1,38:58:00,8,19,0.421,1,3,0.333,0,0,,0,2,2,5,1,2,3,2,17,9.6,-18
60,2/13/2023,21-192,MIN,@,DAL,W (+3),1,35:40:00,12,22,0.545,1,4,0.25,7,7,1,1,4,5,1,0,0,3,4,32,19.4,9
61,2/16/2023,21-195,MIN,,WAS,L (-8),1,37:29:00,11,26,0.423,3,10,0.3,9,10,0.9,1,4,5,3,3,1,6,4,34,19.9,-6
62,2/24/2023,21-203,MIN,,CHO,L (-8),1,40:17:00,11,26,0.423,3,7,0.429,4,4,1,0,8,8,5,2,2,4,0,29,20.5,-3
63,2/26/2023,21-205,MIN,@,GSW,L (-5),1,38:32:00,5,19,0.263,2,8,0.25,0,1,0,0,5,5,7,2,2,5,1,12,4.7,1
64,2/28/2023,21-207,MIN,@,LAC,W (+7),1,36:51:00,6,18,0.333,2,5,0.4,4,5,0.8,1,3,4,3,3,2,4,2,18,10.7,8
65,3/3/2023,21-210,MIN,@,LAL,W (+8),1,35:34:00,7,16,0.438,5,8,0.625,0,0,,0,5,5,2,4,2,5,5,19,11.9,4
66,3/4/2023,21-211,MIN,@,SAC,W (+4),1,35:46:00,10,20,0.5,2,8,0.25,5,8,0.625,1,3,4,8,0,0,4,4,27,17.4,-5
67,3/7/2023,21-214,MIN,,PHI,L (-23),1,33:50:00,12,24,0.5,5,10,0.5,3,4,0.75,0,7,7,1,0,0,2,2,32,19.6,-15
68,3/10/2023,21-217,MIN,,BRK,L (-1),1,43:41:00,12,26,0.462,3,9,0.333,5,6,0.833,0,6,6,2,2,3,2,2,32,22.7,-4
69,3/13/2023,21-220,MIN,@,ATL,W (+21),1,35:48:00,12,25,0.48,2,10,0.2,6,10,0.6,0,8,8,5,1,2,3,1,32,22.6,23
70,3/15/2023,21-222,MIN,,BOS,L (-2),1,38:26:00,10,20,0.5,5,8,0.625,3,5,0.6,0,10,10,7,0,0,3,0,28,22.1,5
71,3/17/2023,21-224,MIN,@,CHI,L (-8),1,8:05,3,4,0.75,2,2,1,0,0,,0,0,0,1,0,0,0,0,8,7.1,5
,3/18/2023,21-225,MIN,@,TOR,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
,3/20/2023,21-227,MIN,@,NYK,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
,3/22/2023,21-229,MIN,,ATL,W (+1),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
72,3/26/2023,21-233,MIN,@,GSW,W (+3),1,34:39:00,5,14,0.357,2,8,0.25,1,2,0.5,1,3,4,3,1,0,3,1,13,6.1,12
73,3/27/2023,21-234,MIN,@,SAC,W (+4),1,38:39:00,6,15,0.4,1,3,0.333,4,8,0.5,1,4,5,7,0,0,1,4,17,11.5,6
74,3/29/2023,21-236,MIN,@,PHO,L (-7),1,39:53:00,13,22,0.591,3,9,0.333,2,3,0.667,0,0,0,6,1,1,1,2,31,24.5,-8
75,3/31/2023,21-238,MIN,,LAL,L (-12),1,38:12:00,4,16,0.25,2,7,0.286,1,2,0.5,0,4,4,3,1,0,3,1,11,1.9,
76,4/2/2023,21-240,MIN,,POR,L (-2),1,37:35:00,15,30,0.5,3,8,0.375,4,5,0.8,0,5,5,6,1,0,4,1,37,23.9,-1
77,4/4/2023,21-242,MIN,@,BRK,W (+5),1,31:00:00,7,18,0.389,2,5,0.4,7,7,1,1,4,5,3,1,2,2,1,23,17.2,13
78,4/8/2023,21-246,MIN,@,SAS,W (+20),1,24:38:00,13,25,0.52,4,9,0.444,3,4,0.75,2,3,5,3,2,0,0,1,33,26.3,15
79,4/9/2023,21-247,MIN,,NOP,W (+5),1,39:05:00,8,21,0.381,3,9,0.333,7,13,0.538,3,10,13,4,4,4,8,3,26,17.6,-4
