G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,10/19/2022,21-075,MIN,,OKC,W (+7),1,31:45:00,4,17,0.235,1,7,0.143,2,4,0.5,1,7,8,7,0,0,2,5,11,3.6,8
2,10/21/2022,21-077,MIN,,UTA,L (-6),1,41:16:00,12,23,0.522,3,9,0.333,3,5,0.6,1,4,5,2,0,1,5,0,30,16.9,-6
3,10/23/2022,21-079,MIN,@,OKC,W (+10),1,33:32:00,13,19,0.684,3,7,0.429,1,3,0.333,2,9,11,3,1,0,4,4,30,22.7,22
4,10/24/2022,21-080,MIN,,SAS,L (-9),1,35:22:00,3,15,0.2,1,8,0.125,2,3,0.667,0,10,10,2,0,0,3,1,9,0.3,-14
5,10/26/2022,21-082,MIN,,SAS,W (+12),1,38:26:00,12,21,0.571,7,12,0.583,3,4,0.75,0,3,3,9,2,0,5,3,34,26.7,16
6,10/28/2022,21-084,MIN,,LAL,W (+9),1,38:11:00,11,22,0.5,3,8,0.375,4,6,0.667,0,4,4,2,1,0,2,4,29,17.2,4
7,10/30/2022,21-086,MIN,@,SAS,L (-9),1,36:18:00,7,18,0.389,1,4,0.25,3,3,1,0,2,2,6,2,1,1,4,18,13.1,-3
8,11/1/2022,21-088,MIN,@,PHO,L (-9),1,39:53:00,8,21,0.381,5,10,0.5,3,5,0.6,0,6,6,1,3,1,3,5,24,12.9,-12
9,11/4/2022,21-091,MIN,,MIL,L (-13),1,37:00:00,10,19,0.526,3,9,0.333,1,2,0.5,1,2,3,3,1,0,3,4,24,14.1,-16
10,11/5/2022,21-092,MIN,,HOU,W (+12),1,32:44:00,7,13,0.538,2,5,0.4,3,3,1,0,2,2,3,2,0,4,2,19,12.6,20
11,11/7/2022,21-094,MIN,,NYK,L (-13),1,36:34:00,5,14,0.357,1,7,0.143,5,6,0.833,1,8,9,1,1,0,3,1,16,9.2,-6
12,11/9/2022,21-096,MIN,,PHO,L (-12),1,34:55:00,4,12,0.333,0,4,0,3,6,0.5,0,3,3,6,2,0,3,5,11,5.1,-2
13,11/11/2022,21-098,MIN,@,MEM,L (-11),1,37:42:00,10,16,0.625,3,4,0.75,5,7,0.714,1,5,6,6,0,0,1,1,28,25,2
14,11/13/2022,21-100,MIN,@,CLE,W (+5),1,31:07:00,5,13,0.385,0,3,0,0,0,,0,7,7,1,0,0,4,5,10,-0.3,-11
15,11/16/2022,21-103,MIN,@,ORL,W (+18),1,38:43:00,12,20,0.6,7,13,0.538,4,7,0.571,0,8,8,6,2,1,1,1,35,32.5,29
16,11/19/2022,21-106,MIN,@,PHI,W (+3),1,35:42:00,7,21,0.333,2,10,0.2,9,9,1,0,5,5,5,1,1,5,2,25,14,2
17,11/21/2022,21-108,MIN,,MIA,W (+4),1,38:30:00,9,21,0.429,4,12,0.333,0,1,0,1,6,7,4,4,1,4,3,22,15.3,0
18,11/23/2022,21-110,MIN,@,IND,W (+14),1,35:47:00,7,14,0.5,3,5,0.6,2,2,1,0,7,7,2,1,0,4,2,19,11.7,10
19,11/25/2022,21-112,MIN,@,CHO,L (-2),1,36:41:00,10,21,0.476,3,10,0.3,2,2,1,1,4,5,4,1,0,2,3,25,16.8,7
20,11/27/2022,21-114,MIN,,GSW,L (-23),1,35:36:00,7,17,0.412,2,6,0.333,10,11,0.909,1,3,4,4,1,0,1,1,26,20.5,-29
21,11/28/2022,21-115,MIN,@,WAS,L (-15),1,36:49:00,9,19,0.474,1,6,0.167,10,11,0.909,3,5,8,2,2,0,7,2,29,18.1,-25
22,11/30/2022,21-117,MIN,,MEM,W (+8),1,40:06:00,10,18,0.556,2,6,0.333,7,7,1,0,3,3,5,5,3,1,4,29,29.3,12
23,12/3/2022,21-120,MIN,,OKC,L (-7),1,37:26:00,10,22,0.455,2,6,0.333,4,6,0.667,0,3,3,4,6,0,5,2,26,17.7,5
24,12/7/2022,21-124,MIN,,IND,W (+6),1,35:01:00,8,18,0.444,1,3,0.333,9,10,0.9,1,7,8,8,6,0,6,3,26,23.4,-4
25,12/9/2022,21-126,MIN,@,UTA,W (+10),1,34:22:00,3,14,0.214,2,6,0.333,6,6,1,2,4,6,2,3,0,1,4,14,9.8,11
26,12/10/2022,21-127,MIN,@,POR,L (-6),1,40:30:00,10,20,0.5,4,8,0.5,2,4,0.5,1,5,6,7,2,0,3,3,26,20.1,0
27,12/12/2022,21-129,MIN,@,POR,L (-21),1,33:23:00,6,16,0.375,3,3,1,2,6,0.333,1,1,2,3,2,0,2,4,17,8.1,-25
28,12/14/2022,21-131,MIN,@,LAC,L (-11),1,36:54:00,6,14,0.429,2,7,0.286,5,7,0.714,0,7,7,3,2,1,5,5,19,10.7,-11
29,12/16/2022,21-133,MIN,@,OKC,W (+2),1,35:17:00,8,16,0.5,2,3,0.667,1,5,0.2,2,9,11,7,1,1,2,0,19,18.1,12
30,12/18/2022,21-135,MIN,,CHI,W (+24),1,37:52:00,13,24,0.542,4,10,0.4,7,7,1,1,6,7,11,2,0,4,2,37,32.8,15
31,12/19/2022,21-136,MIN,,DAL,W (+10),1,37:44:00,7,21,0.333,3,6,0.5,10,11,0.909,2,11,13,9,1,2,1,3,27,25.9,20
32,12/21/2022,21-138,MIN,,DAL,L (-5),1,37:49:00,11,21,0.524,0,4,0,1,2,0.5,0,4,4,5,1,1,4,1,23,14.3,-3
33,12/23/2022,21-140,MIN,@,BOS,L (-12),1,39:37:00,13,25,0.52,3,10,0.3,1,1,1,0,6,6,4,0,2,3,3,30,19.5,-22
