G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,11/27/2021,20-114,MIN,@,PHI,W (+1),1,47:40:00,8,21,0.381,1,8,0.125,2,2,1,0,6,6,7,3,1,4,1,19,13.5,8
21,11/29/2021,20-116,MIN,,IND,W (+2),1,39:22:00,7,19,0.368,2,7,0.286,5,6,0.833,1,8,9,5,3,0,0,3,21,18.5,-2
22,12/1/2021,20-118,MIN,@,WAS,L (-8),1,38:25:00,7,17,0.412,4,9,0.444,7,8,0.875,0,3,3,3,1,1,3,0,25,17.2,-5
23,12/3/2021,20-120,MIN,@,BRK,L (-5),1,36:50:00,7,16,0.438,1,7,0.143,4,4,1,0,2,2,4,3,0,8,1,19,8.6,-12
24,12/6/2021,20-123,MIN,,ATL,L (-11),1,40:03:00,6,19,0.316,2,6,0.333,6,6,1,0,1,1,7,2,3,4,1,20,14,-13
25,12/8/2021,20-125,MIN,,UTA,L (-32),1,33:45:00,7,16,0.438,4,8,0.5,0,2,0,0,2,2,5,1,0,1,3,18,11.7,-18
26,12/10/2021,20-127,MIN,,CLE,L (-17),1,32:33:00,6,17,0.353,1,8,0.125,0,0,,1,3,4,2,2,1,3,1,13,5.8,-32
27,12/12/2021,20-129,MIN,@,POR,W (+5),1,29:07:00,7,13,0.538,2,7,0.286,8,9,0.889,0,4,4,3,1,0,2,4,24,18,5
28,12/15/2021,20-132,MIN,@,DEN,W (+17),1,33:34:00,14,21,0.667,10,14,0.714,0,0,,0,5,5,1,1,1,2,2,38,30,18
,12/17/2021,20-134,MIN,,LAL,W (+18),Inactive,,,,,,,,,,,,,,,,,,,,,
,12/19/2021,20-136,MIN,,DAL,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
,12/21/2021,20-138,MIN,@,DAL,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
,12/23/2021,20-140,MIN,@,UTA,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
,12/27/2021,20-144,MIN,,BOS,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
,12/28/2021,20-145,MIN,,NYK,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
29,12/31/2021,20-148,MIN,@,UTA,L (-12),1,31:31:00,9,21,0.429,4,10,0.4,4,5,0.8,0,3,3,2,0,0,2,6,26,12.4,-1
30,1/2/2022,20-150,MIN,@,LAL,L (-5),1,37:38:00,7,19,0.368,0,6,0,4,6,0.667,2,5,7,4,1,1,8,3,18,4.9,0
31,1/3/2022,20-151,MIN,@,LAC,W (+18),1,32:53:00,11,17,0.647,5,10,0.5,1,1,1,0,2,2,4,1,1,4,1,28,21.2,23
32,1/5/2022,20-153,MIN,,OKC,W (+8),1,32:25:00,8,17,0.471,4,10,0.4,2,3,0.667,2,3,5,2,5,0,2,3,22,18.4,20
33,1/7/2022,20-155,MIN,@,OKC,W (+30),1,29:22:00,9,16,0.563,6,9,0.667,0,0,,0,6,6,7,1,1,0,1,24,24.4,31
34,1/9/2022,20-157,MIN,@,HOU,W (+18),1,34:08:00,7,17,0.412,2,8,0.25,3,3,1,0,3,3,6,2,2,2,3,19,15.2,22
35,1/11/2022,20-159,MIN,@,NOP,L (-3),1,36:57:00,10,21,0.476,6,12,0.5,2,2,1,2,2,4,5,1,0,3,3,28,19.6,-2
36,1/13/2022,20-161,MIN,@,MEM,L (-8),1,38:04:00,9,20,0.45,5,11,0.455,7,7,1,0,2,2,4,1,0,3,2,30,20.2,-2
37,1/16/2022,20-164,MIN,,GSW,W (+20),1,27:54:00,3,8,0.375,2,4,0.5,1,1,1,0,1,1,2,1,1,2,0,9,6,2
38,1/18/2022,20-166,MIN,@,NYK,W (+2),1,39:20:00,8,17,0.471,2,9,0.222,3,4,0.75,0,3,3,3,2,0,4,3,21,11.7,8
39,1/19/2022,20-167,MIN,@,ATL,L (-12),1,23:49,7,16,0.438,4,10,0.4,2,2,1,2,3,5,0,0,0,0,2,20,13.1,-1
40,1/23/2022,20-171,MIN,,BRK,W (+11),1,30:52:00,8,17,0.471,4,8,0.5,5,6,0.833,0,1,1,4,2,0,1,2,25,19.2,6
41,1/25/2022,20-173,MIN,@,POR,W (+2),1,38:44:00,14,27,0.519,5,13,0.385,7,11,0.636,1,8,9,0,3,3,1,4,40,30.7,14
42,1/27/2022,20-175,MIN,@,GSW,L (-9),1,37:20:00,8,18,0.444,2,11,0.182,9,9,1,2,4,6,6,1,2,3,2,27,23,-11
43,1/28/2022,20-176,MIN,@,PHO,L (-10),1,37:26:00,9,20,0.45,4,11,0.364,5,6,0.833,0,5,5,10,4,1,1,3,27,27.2,6
44,1/30/2022,20-178,MIN,,UTA,W (+20),1,35:35:00,6,16,0.375,2,9,0.222,1,1,1,0,3,3,4,1,0,5,0,15,5.9,15
45,2/1/2022,20-180,MIN,,DEN,W (+15),1,25:37:00,2,8,0.25,1,6,0.167,0,0,,0,0,0,2,0,1,0,1,5,1.9,3
46,2/3/2022,20-182,MIN,@,DET,W (+11),1,34:11:00,9,21,0.429,2,9,0.222,5,5,1,0,3,3,1,1,0,2,3,25,13.3,0
47,2/6/2022,20-185,MIN,,DET,W (+13),1,34:59:00,4,12,0.333,2,6,0.333,7,9,0.778,0,2,2,5,2,0,0,3,17,14.3,-1
48,2/8/2022,20-187,MIN,@,SAC,W (+20),1,25:37:00,2,12,0.167,0,3,0,1,2,0.5,1,2,3,3,1,0,2,2,5,-1.4,6
49,2/9/2022,20-188,MIN,@,SAC,L (-13),1,37:54:00,10,25,0.4,3,9,0.333,3,4,0.75,0,1,1,1,0,1,2,4,26,10.2,3
50,2/11/2022,20-190,MIN,@,CHI,L (-12),1,37:05:00,12,22,0.545,3,9,0.333,4,6,0.667,0,6,6,8,0,1,4,2,31,22.9,-3
51,2/13/2022,20-192,MIN,@,IND,W (+9),1,38:35:00,13,25,0.52,7,13,0.538,4,7,0.571,0,5,5,4,4,1,3,1,37,29.1,13
52,2/15/2022,20-194,MIN,,CHO,W (+6),1,17:50,3,10,0.3,1,6,0.167,2,5,0.4,2,2,4,1,1,1,0,1,9,6,8
53,2/16/2022,20-195,MIN,,TOR,L (-12),1,31:49:00,0,8,0,0,5,0,6,10,0.6,0,3,3,1,0,0,1,3,6,-1.8,-8
54,2/24/2022,20-203,MIN,,MEM,W (+5),1,31:39:00,1,11,0.091,0,6,0,3,6,0.5,1,3,4,7,0,2,3,0,5,1.4,5
55,2/25/2022,20-204,MIN,,PHI,L (-31),1,37:46:00,5,13,0.385,1,6,0.167,4,6,0.667,1,2,3,5,1,1,2,3,15,10.4,-21
56,2/28/2022,20-207,MIN,@,CLE,W (+5),1,32:22:00,7,13,0.538,1,5,0.2,2,2,1,2,2,4,4,4,0,4,5,17,13.5,7
,3/1/2022,20-208,MIN,,GSW,W (+15),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
,3/4/2022,20-211,MIN,@,OKC,W (+37),Inactive,,,,,,,,,,,,,,,,,,,,,
,3/5/2022,20-212,MIN,,POR,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
,3/7/2022,20-214,MIN,,POR,W (+43),Inactive,,,,,,,,,,,,,,,,,,,,,
57,3/9/2022,20-216,MIN,,OKC,W (+30),1,25:29:00,7,15,0.467,2,8,0.25,0,0,,0,1,1,3,2,1,4,2,16,8.6,7
58,3/11/2022,20-218,MIN,@,ORL,L (-8),1,34:26:00,9,19,0.474,4,11,0.364,3,3,1,0,3,3,5,1,0,0,3,25,19.5,-3
59,3/12/2022,20-219,MIN,@,MIA,W (+9),1,36:22:00,4,10,0.4,3,8,0.375,4,4,1,0,8,8,5,3,1,1,1,15,17.8,5
60,3/14/2022,20-221,MIN,@,SAS,W (+10),1,30:21:00,2,7,0.286,1,2,0.5,0,0,,2,1,3,3,1,1,2,2,5,3.6,4
61,3/16/2022,20-223,MIN,,LAL,W (+20),1,32:02:00,8,21,0.381,6,11,0.545,5,6,0.833,2,4,6,4,2,1,3,3,27,19,19
62,3/19/2022,20-226,MIN,,MIL,W (+19),1,33:03:00,9,16,0.563,5,10,0.5,2,2,1,0,5,5,4,3,0,1,1,25,23.3,17
63,3/21/2022,20-228,MIN,@,DAL,L (-2),1,38:05:00,5,13,0.385,3,5,0.6,6,7,0.857,0,6,6,3,0,0,1,1,19,14,0
64,3/23/2022,20-230,MIN,,PHO,L (-9),1,34:49:00,7,17,0.412,3,8,0.375,2,2,1,1,3,4,4,1,0,4,3,19,10.1,-9
65,3/25/2022,20-232,MIN,,DAL,W (+21),1,32:17:00,6,14,0.429,0,4,0,0,1,0,0,6,6,4,1,0,2,3,12,6.6,24
66,3/27/2022,20-234,MIN,@,BOS,L (-22),1,37:11:00,9,16,0.563,5,9,0.556,1,1,1,0,5,5,6,1,0,5,2,24,17.3,-14
67,3/30/2022,20-237,MIN,@,TOR,L (-23),1,31:37:00,10,18,0.556,4,7,0.571,0,0,,1,7,8,4,1,1,3,4,24,18.1,-19
68,4/1/2022,20-239,MIN,@,DEN,W (+6),1,40:01:00,6,15,0.4,3,7,0.429,3,4,0.75,2,6,8,7,1,0,2,2,18,15.8,-1
69,4/3/2022,20-241,MIN,@,HOU,W (+7),1,35:21:00,12,21,0.571,4,12,0.333,5,5,1,0,4,4,5,2,1,2,2,33,27.7,2
70,4/5/2022,20-243,MIN,,WAS,L (-18),1,31:58:00,8,17,0.471,1,6,0.167,1,1,1,1,5,6,4,0,0,2,2,18,11.5,-17
71,4/7/2022,20-245,MIN,,SAS,W (+6),1,39:12:00,16,28,0.571,6,14,0.429,11,14,0.786,2,4,6,8,1,0,2,2,49,41,18
72,4/10/2022,20-248,MIN,,CHI,L (-4),1,18:24,3,8,0.375,0,4,0,2,2,1,0,0,0,1,1,0,1,1,8,3.9,-12
