G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,10/20/2021,20-076,MIN,,HOU,W (+18),1,31:11:00,10,21,0.476,6,12,0.5,3,4,0.75,2,4,6,3,1,0,4,2,29,18.8,26
2,10/23/2021,20-079,MIN,,NOP,W (+7),1,36:57:00,8,22,0.364,3,8,0.375,0,0,,3,6,9,5,1,1,1,1,19,14.5,10
3,10/25/2021,20-081,MIN,,NOP,L (-9),1,40:28:00,10,23,0.435,4,11,0.364,4,4,1,1,8,9,3,1,0,3,5,28,17.1,5
4,10/27/2021,20-083,MIN,@,MIL,W (+5),1,33:14:00,9,24,0.375,2,10,0.2,5,6,0.833,1,6,7,3,1,0,2,2,25,14.2,-2
5,10/30/2021,20-086,MIN,,DEN,L (-2),1,34:08:00,6,19,0.316,0,6,0,2,2,1,4,7,11,1,0,0,3,1,14,5.3,-14
6,11/1/2021,20-088,MIN,,ORL,L (-18),1,36:43:00,10,22,0.455,2,8,0.25,2,4,0.5,2,4,6,3,2,0,2,1,24,16.1,-11
7,11/3/2021,20-090,MIN,,LAC,L (-11),1,38:02:00,11,21,0.524,3,10,0.3,3,3,1,1,2,3,6,3,1,6,1,28,20.5,9
8,11/5/2021,20-092,MIN,,LAC,L (-20),1,31:38:00,7,22,0.318,3,12,0.25,0,1,0,0,1,1,3,2,3,2,4,17,6.9,1
9,11/8/2021,20-095,MIN,@,MEM,L (-7),1,42:59:00,9,22,0.409,4,9,0.444,5,7,0.714,2,3,5,3,3,0,4,4,27,16.2,-16
10,11/10/2021,20-097,MIN,@,GSW,L (-13),1,41:45:00,16,27,0.593,7,13,0.538,9,12,0.75,2,4,6,5,2,0,6,1,48,36,-3
11,11/12/2021,20-099,MIN,@,LAL,W (+24),1,32:00:00,4,11,0.364,1,5,0.2,0,0,,0,3,3,1,1,0,5,2,9,-0.3,5
12,11/13/2021,20-100,MIN,@,LAC,L (-27),1,34:00:00,9,22,0.409,2,6,0.333,1,2,0.5,3,8,11,3,0,0,4,1,21,11,-18
13,11/15/2021,20-102,MIN,,PHO,L (-3),1,39:11:00,2,11,0.182,1,6,0.167,4,6,0.667,3,9,12,6,1,3,6,5,9,5.4,-5
14,11/17/2021,20-104,MIN,,SAC,W (+10),1,39:31:00,11,24,0.458,4,10,0.4,0,0,,1,4,5,1,0,1,1,4,26,14.3,10
15,11/18/2021,20-105,MIN,,SAS,W (+25),1,33:00:00,5,11,0.455,3,8,0.375,0,0,,2,3,5,6,2,2,4,4,13,11.6,12
16,11/20/2021,20-107,MIN,,MEM,W (+43),1,26:02:00,8,10,0.8,5,6,0.833,2,2,1,0,0,0,2,0,0,1,3,23,18.4,36
17,11/22/2021,20-109,MIN,@,NOP,W (+14),1,33:07:00,6,16,0.375,3,9,0.333,3,5,0.6,2,5,7,1,3,1,3,1,18,12.3,27
18,11/24/2021,20-111,MIN,,MIA,W (+12),1,43:09:00,13,27,0.481,6,15,0.4,1,1,1,1,13,14,6,3,1,5,4,33,25.2,19
19,11/26/2021,20-113,MIN,@,CHO,L (-18),1,27:31:00,4,9,0.444,1,4,0.25,2,3,0.667,1,4,5,2,1,0,2,2,11,7.4,-15
